reference_no,reference_text_joined,source_lines_as_printed,project_text_before_last_location_suffix,last_location_suffix_as_printed,location_split_method,reference_scope,source_pdf_page,source_printed_page,source_column,catalog_text_color,verification_status,verification_note
729,MSB 140 KİŞİLİK ER KOMPLEKSİ / ANKARA,MSB 140 KİŞİLİK ER KOMPLEKSİ / ANKARA,MSB 140 KİŞİLİK ER KOMPLEKSİ,ANKARA,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
730,MUHİTTİN AKDİK İLKOKULU FATİH / İSTANBUL,MUHİTTİN AKDİK İLKOKULU FATİH / İSTANBUL,MUHİTTİN AKDİK İLKOKULU FATİH,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
731,MUSTAFA KEMAL PAŞA ATIKSU ARITMA TESİSİ / BURSA,MUSTAFA KEMAL PAŞA ATIKSU ARITMA TESİSİ / BURSA,MUSTAFA KEMAL PAŞA ATIKSU ARITMA TESİSİ,BURSA,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
732,MUSTAFA KEMAL ÜNİVERSİTESİ / HATAY,MUSTAFA KEMAL ÜNİVERSİTESİ / HATAY,MUSTAFA KEMAL ÜNİVERSİTESİ,HATAY,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
733,MUTLU AKÜ A.Ş. / İSTANBUL,MUTLU AKÜ A.Ş. / İSTANBUL,MUTLU AKÜ A.Ş.,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
734,MUTLU SANAYİ SİTESİ ORHANLI / İSTANBUL,MUTLU SANAYİ SİTESİ ORHANLI / İSTANBUL,MUTLU SANAYİ SİTESİ ORHANLI,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
735,MY HOME MASLAK / İSTANBUL,MY HOME MASLAK / İSTANBUL,MY HOME MASLAK,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
736,NARPLAS PLASTİK METAL FABRİKA / İSTANBUL,NARPLAS PLASTİK METAL FABRİKA / İSTANBUL,NARPLAS PLASTİK METAL FABRİKA,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
737,NASİRİYAH HASTANESİ / IRAK,NASİRİYAH HASTANESİ / IRAK,NASİRİYAH HASTANESİ,IRAK,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
738,NATURA GIDA KARACABEY DEPOSU / BURSA,NATURA GIDA KARACABEY DEPOSU / BURSA,NATURA GIDA KARACABEY DEPOSU,BURSA,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
739,NAZ CITY OTEL TAKSİM / İSTANBUL,NAZ CITY OTEL TAKSİM / İSTANBUL,NAZ CITY OTEL TAKSİM,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
740,NAZAR KİMYA SABUN TUZLA / İSTANBUL,NAZAR KİMYA SABUN TUZLA / İSTANBUL,NAZAR KİMYA SABUN TUZLA,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
741,NAZARBAYEV ÜNİVERSİTESİ ASTANA / KAZAKİSTAN,NAZARBAYEV ÜNİVERSİTESİ ASTANA / KAZAKİSTAN,NAZARBAYEV ÜNİVERSİTESİ ASTANA,KAZAKİSTAN,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
742,NECEF ATIKSI ARITMA TESİSİ / IRAK,NECEF ATIKSI ARITMA TESİSİ / IRAK,NECEF ATIKSI ARITMA TESİSİ,IRAK,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
743,NEF MERTER 13 KONUT VE OFİS / İSTANBUL,NEF MERTER 13 KONUT VE OFİS / İSTANBUL,NEF MERTER 13 KONUT VE OFİS,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
744,NEF POINTS 98 KAĞITHANE KONUT / İSTANBUL,NEF POINTS 98 KAĞITHANE KONUT / İSTANBUL,NEF POINTS 98 KAĞITHANE KONUT,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
745,NEO AVM / ESKİŞEHİR,NEO AVM / ESKİŞEHİR,NEO AVM,ESKİŞEHİR,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
746,NEOMARİN AVM / İSTANBUL,NEOMARİN AVM / İSTANBUL,NEOMARİN AVM,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
747,NG KÜTAHYA SERAMİK FABRİKASI,NG KÜTAHYA SERAMİK FABRİKASI,NG KÜTAHYA SERAMİK FABRİKASI,,no slash suffix,domestic_and_regional_project_references,140,138,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
748,NİĞDE OSB ALTYAPI İŞLERİ,NİĞDE OSB ALTYAPI İŞLERİ,NİĞDE OSB ALTYAPI İŞLERİ,,no slash suffix,domestic_and_regional_project_references,140,138,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
749,NİJERYA ŞIRINGA FABRİKA BİNASI,NİJERYA ŞIRINGA FABRİKA BİNASI,NİJERYA ŞIRINGA FABRİKA BİNASI,,no slash suffix,domestic_and_regional_project_references,140,138,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
750,NİSSA O2 RESIDANCE / İSTANBUL,NİSSA O2 RESIDANCE / İSTANBUL,NİSSA O2 RESIDANCE,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
751,NİVO İSTANBUL KONUT,NİVO İSTANBUL KONUT,NİVO İSTANBUL KONUT,,no slash suffix,domestic_and_regional_project_references,140,138,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
752,NND100 TOWER İŞ VE YAŞAM MERKEZİ KARTAL / İSTANBUL,NND100 TOWER İŞ VE YAŞAM MERKEZİ KARTAL / İSTANBUL,NND100 TOWER İŞ VE YAŞAM MERKEZİ KARTAL,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
753,NOBEL FARMA İLAÇ / DÜZCE,NOBEL FARMA İLAÇ / DÜZCE,NOBEL FARMA İLAÇ,DÜZCE,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
754,NOVADA ATAŞEHİR / İSTANBUL,NOVADA ATAŞEHİR / İSTANBUL,NOVADA ATAŞEHİR,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
755,NOVADA AVM 2.ETAP / BALIKESİR,NOVADA AVM 2.ETAP / BALIKESİR,NOVADA AVM 2.ETAP,BALIKESİR,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
756,NOVARTİS İLAÇ / İSTANBUL,NOVARTİS İLAÇ / İSTANBUL,NOVARTİS İLAÇ,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
757,NUROL PARK GÜNEŞLİ / İSTANBUL,NUROL PARK GÜNEŞLİ / İSTANBUL,NUROL PARK GÜNEŞLİ,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
758,NUROL TOWER / İSTANBUL,NUROL TOWER / İSTANBUL,NUROL TOWER,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
759,OBARİ ENERJİ SANTRALİ / LİBYA,OBARİ ENERJİ SANTRALİ / LİBYA,OBARİ ENERJİ SANTRALİ,LİBYA,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
760,OFLAZ İNŞAAT YAKACIK LEKULE / İSTANBUL,OFLAZ İNŞAAT YAKACIK LEKULE / İSTANBUL,OFLAZ İNŞAAT YAKACIK LEKULE,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
761,OKAN KOLEJİ ATAŞEHİR / İSTANBUL,OKAN KOLEJİ ATAŞEHİR / İSTANBUL,OKAN KOLEJİ ATAŞEHİR,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
762,OKMEYDANI EĞİTİM VE ARAŞTIRMA HASTANESİ,OKMEYDANI EĞİTİM VE ARAŞTIRMA HASTANESİ,OKMEYDANI EĞİTİM VE ARAŞTIRMA HASTANESİ,,no slash suffix,domestic_and_regional_project_references,140,138,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
763,OLİMPİYAT KOMPLEKSİ / TÜRKMENİSTAN,OLİMPİYAT KOMPLEKSİ / TÜRKMENİSTAN,OLİMPİYAT KOMPLEKSİ,TÜRKMENİSTAN,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
764,ORA AVM / İSTANBUL,ORA AVM / İSTANBUL,ORA AVM,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
765,ORDU ATIKSU ARITMA TESİSİ,ORDU ATIKSU ARITMA TESİSİ,ORDU ATIKSU ARITMA TESİSİ,,no slash suffix,domestic_and_regional_project_references,140,138,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
766,ORJİN MASLAK İŞ MERKEZİ / İSTANBUL,ORJİN MASLAK İŞ MERKEZİ / İSTANBUL,ORJİN MASLAK İŞ MERKEZİ,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
767,ORMANADA ZEKERİYAKÖY / İSTANBUL,ORMANADA ZEKERİYAKÖY / İSTANBUL,ORMANADA ZEKERİYAKÖY,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
768,ORTAKÖY ATIKSU ARITMA TESİSİ / AKSARAY,ORTAKÖY ATIKSU ARITMA TESİSİ / AKSARAY,ORTAKÖY ATIKSU ARITMA TESİSİ,AKSARAY,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
769,ORYATAŞ OTEL VE REZIDANS ÜMRANİYE / İSTANBUL,ORYATAŞ OTEL VE REZIDANS ÜMRANİYE / İSTANBUL,ORYATAŞ OTEL VE REZIDANS ÜMRANİYE,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
770,OSMANGAZİ ÜNİVERSİTESİ / ESKİŞEHİR,OSMANGAZİ ÜNİVERSİTESİ / ESKİŞEHİR,OSMANGAZİ ÜNİVERSİTESİ,ESKİŞEHİR,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
771,OTOGAR-KİRAZLI 1 HAFİF RAYLI SİSTEMİ / İSTANBUL,OTOGAR-KİRAZLI 1 HAFİF RAYLI SİSTEMİ / İSTANBUL,OTOGAR-KİRAZLI 1 HAFİF RAYLI SİSTEMİ,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
772,OVİT TÜNELİ / RİZE,OVİT TÜNELİ / RİZE,OVİT TÜNELİ,RİZE,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
773,OYAK PORT YARIMCA / KOCAELİ,OYAK PORT YARIMCA / KOCAELİ,OYAK PORT YARIMCA,KOCAELİ,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
774,OYAK RENAULT FABRİKASI / BURSA,OYAK RENAULT FABRİKASI / BURSA,OYAK RENAULT FABRİKASI,BURSA,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
775,OYKA ENERJİ BİYOKÜTLE SANTRALİ ÇAYCUMA / ZONGULDAK,OYKA ENERJİ BİYOKÜTLE SANTRALİ ÇAYCUMA / ZONGULDAK,OYKA ENERJİ BİYOKÜTLE SANTRALİ ÇAYCUMA,ZONGULDAK,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
776,ÖDÜL İSTANBUL KONUT,ÖDÜL İSTANBUL KONUT,ÖDÜL İSTANBUL KONUT,,no slash suffix,domestic_and_regional_project_references,140,138,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
777,ÖMÜR İSTANBUL KONUT,ÖMÜR İSTANBUL KONUT,ÖMÜR İSTANBUL KONUT,,no slash suffix,domestic_and_regional_project_references,140,138,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
778,ÖZAK WEST 34 ATAŞEHİR / İSTANBUL,ÖZAK WEST 34 ATAŞEHİR / İSTANBUL,ÖZAK WEST 34 ATAŞEHİR,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
779,ÖZBEKİSTAN BORU ÜRETİM TESİSİ,ÖZBEKİSTAN BORU ÜRETİM TESİSİ,ÖZBEKİSTAN BORU ÜRETİM TESİSİ,,no slash suffix,domestic_and_regional_project_references,140,138,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
780,ÖZCANLAR TEKSTİL GES / TEKİRDAĞ,ÖZCANLAR TEKSTİL GES / TEKİRDAĞ,ÖZCANLAR TEKSTİL GES,TEKİRDAĞ,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
781,ÖZDEN CENGİZ ANADOLU LİSESİ / İSTANBUL,ÖZDEN CENGİZ ANADOLU LİSESİ / İSTANBUL,ÖZDEN CENGİZ ANADOLU LİSESİ,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
782,ÖZDİLEK LEVENT AVM / İSTANBUL,ÖZDİLEK LEVENT AVM / İSTANBUL,ÖZDİLEK LEVENT AVM,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
783,ÖZDOKU TEKSTİL ESENYURT / İSTANBUL,ÖZDOKU TEKSTİL ESENYURT / İSTANBUL,ÖZDOKU TEKSTİL ESENYURT,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
784,ÖZEL AMASYA ATAŞEHİR HASTANESİ,ÖZEL AMASYA ATAŞEHİR HASTANESİ,ÖZEL AMASYA ATAŞEHİR HASTANESİ,,no slash suffix,domestic_and_regional_project_references,140,138,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
785,ÖZMEN JES / MANİSA,ÖZMEN JES / MANİSA,ÖZMEN JES,MANİSA,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
786,PALACE HOTEL TİFLİS / GÜRCİSTAN,PALACE HOTEL TİFLİS / GÜRCİSTAN,PALACE HOTEL TİFLİS,GÜRCİSTAN,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
787,PALM CITY AVM / MERSİN,PALM CITY AVM / MERSİN,PALM CITY AVM,MERSİN,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
788,PAPİRUS PLAZA / İSTANBUL,PAPİRUS PLAZA / İSTANBUL,PAPİRUS PLAZA,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
789,PARK AFYON AVM,PARK AFYON AVM,PARK AFYON AVM,,no slash suffix,domestic_and_regional_project_references,140,138,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
790,PARK MAVERA BAŞAKŞEHİR MAKRO / İSTANBUL,PARK MAVERA BAŞAKŞEHİR MAKRO / İSTANBUL,PARK MAVERA BAŞAKŞEHİR MAKRO,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
791,PARK PANORAMA GEBZE / KOCAELİ,PARK PANORAMA GEBZE / KOCAELİ,PARK PANORAMA GEBZE,KOCAELİ,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
792,PETKİM LİMANI ALİAĞA / İZMİR,PETKİM LİMANI ALİAĞA / İZMİR,PETKİM LİMANI ALİAĞA,İZMİR,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
793,PETKİM TESİSLERİ ALİAĞA / İZMİR,PETKİM TESİSLERİ ALİAĞA / İZMİR,PETKİM TESİSLERİ ALİAĞA,İZMİR,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
794,PİYALEPAŞA BEYOĞLU / İSTANBUL,PİYALEPAŞA BEYOĞLU / İSTANBUL,PİYALEPAŞA BEYOĞLU,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
795,PLAST-MET KALIP / İSTANBUL,PLAST-MET KALIP / İSTANBUL,PLAST-MET KALIP,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
796,PLATFORM MERTER AVM / İSTANBUL,PLATFORM MERTER AVM / İSTANBUL,PLATFORM MERTER AVM,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
797,POLİSAN HOLDİNG A.Ş. / KOCAELİ,POLİSAN HOLDİNG A.Ş. / KOCAELİ,POLİSAN HOLDİNG A.Ş.,KOCAELİ,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
798,POLİSAN KİMYA YENİ REÇİNE TESİSİ / KOCAELİ,POLİSAN KİMYA YENİ REÇİNE TESİSİ / KOCAELİ,POLİSAN KİMYA YENİ REÇİNE TESİSİ,KOCAELİ,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
799,POLYPLEX EUROPA POLYESTER / TEKİRDAĞ,POLYPLEX EUROPA POLYESTER / TEKİRDAĞ,POLYPLEX EUROPA POLYESTER,TEKİRDAĞ,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
800,PRIME MALL AVM / GAZİANTEP,PRIME MALL AVM / GAZİANTEP,PRIME MALL AVM,GAZİANTEP,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
801,PROMESA LEVENT KULE / İSTANBUL,PROMESA LEVENT KULE / İSTANBUL,PROMESA LEVENT KULE,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
802,PRUVA 34 BAKIRKÖY / İSTANBUL,PRUVA 34 BAKIRKÖY / İSTANBUL,PRUVA 34 BAKIRKÖY,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
803,PULVER KİMYA GEBZE FABRİKA / KOCAELİ,PULVER KİMYA GEBZE FABRİKA / KOCAELİ,PULVER KİMYA GEBZE FABRİKA,KOCAELİ,last slash suffix only; not externally verified,domestic_and_regional_project_references,140,138,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
